"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","22p","","","","","~"
"C3,C4,C5,C6,C7,C8,C10,C11,C13,C14,C16","11","0.1u","","","","","~"
"C9","1","220u","","","","","~"
"C12","1","22u","","","","","~"
"C15","1","10u","","","","","~"
"FB1","1","FerriteBead_Small","","","","","~"
"J1","1","EXT_CON1","","","","","~"
"J2","1","EXT_CON_2","","","","","~"
"J3","1","Conn_Coaxial","","","","","~"
"J4","1","SBC68 BUS","","","","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Horizontal","~"
"J5","1","DE15_Socket_HighDensity_MountingHoles","","","","","~"
"Q1,Q2,Q3,Q4,Q5,Q6","6","2N3904","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF"
"R1","1","680","","","","","~"
"R2,R6,R9,R12,R15","5","470","","","","","~"
"R3,R8,R11,R14,R17","5","75","","","","","~"
"R4,R5,R7,R10,R13,R16","6","1k","","","","","~"
"U1","1","74LS32","","","","","http://www.ti.com/lit/gpn/sn74LS32"
"U2","1","74LS04","","","","","http://www.ti.com/lit/gpn/sn74LS04"
"U3","1","V9938","","","","",""
"U4","1","LM1881","","","","",""
"U5,U6,U7,U8","4","DRAM41464","","","","",""
"Y1","1","22.xxxMHz","","","","","~"
